timestamp,interface,id,data
1747284849.796253,can0,012,76
1747284849.803434,can0,002,01 AD FB D4 F8 64 00 00
1747284849.819612,can0,012,7F
1747284849.836957,can0,002,01 AD FB D3 F8 64 00 00
1747284849.84289,can0,012,72
1747284849.866292,can0,012,84
1747284849.870499,can0,002,01 AD FB D3 F8 65 00 00
1747284849.889567,can0,012,73
1747284849.904084,can0,002,01 AD FB D3 F8 64 00 00
1747284849.91286,can0,012,72
1747284849.936142,can0,012,72
1747284849.937622,can0,002,01 AC FB D3 F8 64 00 00
1747284849.959473,can0,012,7B
1747284849.971174,can0,002,01 AC FB D3 F8 63 00 00
1747284849.982762,can0,012,73
1747284850.004734,can0,002,01 AC FB D3 F8 63 00 00
1747284850.006053,can0,012,72
1747284850.029337,can0,012,72
1747284850.03826,can0,002,01 AC FB D3 F8 63 00 00
1747284850.052714,can0,012,83
1747284850.071797,can0,002,01 AC FB D3 F8 63 00 00
1747284850.075983,can0,012,6F
1747284850.099371,can0,012,83
1747284850.105349,can0,002,01 AC FB D3 F8 63 00 00
1747284850.122625,can0,012,6E
1747284850.138925,can0,002,01 AC FB D3 F8 63 00 00
1747284850.145932,can0,012,76
